task_id,phase,repo,title,action_type,description,files_to_create,files_to_update,dependencies,definition_of_done,acceptance_criteria,priority
INIT-BT-001,phase1,sourceos-boot,Initialize boot repo skeleton,create,"Create the boot repo skeleton with BootReleaseSet spec, examples, tests, and CI.",README.md;docs/spec/INDEX.md;docs/spec/BootReleaseSet.v1.md;schemas/BootReleaseSet.v1.schema.json;examples/;tests/README.md;.github/workflows/validate-schemas.yml,,,Repository exists with all listed seed files committed.,Repo contains listed files; CI config present; README explains ownership and scope.,P0
INIT-CP-001,phase1,sourceos-control-plane,Initialize control plane repo skeleton,create,"Create the control-plane repository skeleton with specs, ADRs, schemas, examples, tests, and CI.",README.md;docs/spec/INDEX.md;docs/adr/README.md;schemas/;examples/;tests/README.md;.github/workflows/validate-schemas.yml,,,Repository exists with all listed seed files committed.,Repo contains listed files; CI config present; README explains ownership and scope.,P0
INIT-HB-001,phase1,homebrew-sourceos,Initialize Homebrew tap skeleton,create,"Create the tap README, Formula, Cask scaffold, and brew CI.",README.md;Formula/sourceos-bootstrap.rb;Casks/sourceos-bootstrap.rb;.github/workflows/brew-test.yml,,,Repository exists with all listed seed files committed.,Repo contains listed files; CI config present; README explains ownership and scope.,P0
INIT-NX-001,phase1,sourceos-nix-lifecycle,Initialize nix lifecycle repo skeleton,create,"Create the Nix lifecycle repository with ReleaseSet, ConfigSource, TokenDoor specs, schemas, examples, tests, and CI.",README.md;docs/spec/INDEX.md;docs/spec/ReleaseSet.v1.md;docs/spec/ConfigSource.v0.md;docs/spec/TokenDoor.v0.md;docs/spec/GitRefBuild.v0.md;schemas/;examples/;tests/README.md;.github/workflows/validate-schemas.yml,,,Repository exists with all listed seed files committed.,Repo contains listed files; CI config present; README explains ownership and scope.,P0
INIT-PC-001,phase1,sourceos-profile-catalog,Initialize profile catalog repo skeleton,create,"Create the profile catalog repository with profiles, bundles, examples, and validation CI.",README.md;docs/spec/ExperienceProfile.v1.md;schemas/ExperienceProfile.v1.schema.json;profiles/;bundles/README.md;examples/;.github/workflows/validate-profiles.yml,,,Repository exists with all listed seed files committed.,Repo contains listed files; CI config present; README explains ownership and scope.,P0
INIT-PL-001,phase1,sourceos-policy-ledger,Initialize policy ledger repo skeleton,create,"Create the policy/ledger repository with Fingerprint, PolicyBundle, Receipt, AuditLog specs, schemas, examples, tests, and CI.",README.md;docs/spec/INDEX.md;docs/spec/Fingerprint.v1.md;docs/spec/PolicyBundle.v0.md;docs/spec/Receipt.v0.md;docs/spec/AuditLog.v0.md;schemas/;examples/;tests/README.md;.github/workflows/validate-schemas.yml,,,Repository exists with all listed seed files committed.,Repo contains listed files; CI config present; README explains ownership and scope.,P0
INIT-SDK-001,phase1,sourceos-sdk,Initialize SDK repo skeleton and bootstrap CLI home,create,"Create the SDK repo skeleton including crosswalk docs, agent-runtime boundary docs, language client folders, and bootstrap CLI source home.",README.md;docs/crosswalk/CLI_SDK_API_RPC_SURFACES.v1.md;docs/spec/CLI_Ergonomics_and_Agent_Hybrid.v1.md;docs/spec/AGENT_RUNTIME_BOUNDARY.v0.md;docs/spec/MCP_BOUNDARY.v0.md;clients/python/README.md;clients/go/README.md;clients/ts/README.md;cmd/sourceos-bootstrap/README.md;cmd/sourceos-bootstrap/COMMANDS.md,,,Repository exists with all listed seed files committed.,Repo contains listed files; CI config present; README explains ownership and scope.,P0
INIT-WS-001,phase1,sourceos-workspace,Initialize workspace repo skeleton,create,"Create the top-level workspace repository with README, workspace manifest, lock file, repo matrix, trust/roots docs, workspace memory/context file, bootstrap helper, and issue import instructions.",README.md;SOURCEOS.md;workspace.toml;workspace.lock.json;docs/REPO_MATRIX.md;docs/IMPORT_ISSUES.md;docs/TRUST_AND_ROOTS.md;scripts/bootstrap.sh,,,Repository exists with all listed seed files committed.,Repo contains listed files; CI config present; README explains ownership and scope.,P0
SPEC-BT-001,phase1,sourceos-boot,Install BootReleaseSet v1 frozen spec set,copy,"Copy BootReleaseSet v1 spec, schema, and example into the boot repo.",examples/boot-release-set.example.v1.json,docs/spec/BootReleaseSet.v1.md;schemas/BootReleaseSet.v1.schema.json,INIT-BT-001,BootReleaseSet example validates and CI passes.,Schema CI passes and docs preserve channel semantics (live/install/rescue).,P0
SPEC-CP-001,phase1,sourceos-control-plane,Copy and index frozen control-plane object model,copy,"Copy ExperienceProfile, ReleaseSet, Fingerprint, and the new ControlPlaneObjectModel docs into sourceos-control-plane and wire the spec index.",docs/spec/ControlPlaneObjectModel.v0.md,docs/spec/INDEX.md;README.md,INIT-CP-001,Control plane spec index references all owned or linked objects and examples validate.,Spec index builds mentally coherent object map; no dangling references.,P0
SPEC-NX-001,phase1,sourceos-nix-lifecycle,Install ReleaseSet v1 frozen spec set,copy,"Copy ReleaseSet v1 spec, schema, and example into the lifecycle repo.",examples/release-set.example.v1.json,docs/spec/ReleaseSet.v1.md;schemas/ReleaseSet.v1.schema.json,INIT-NX-001,ReleaseSet example validates and schema CI passes.,Schema validator succeeds and example is semantically readable.,P0
SPEC-NX-002,phase1,sourceos-nix-lifecycle,Freeze and install ConfigSource v0,copy,"Copy the frozen ConfigSource v0 spec, schema, and example into the lifecycle repo and mark it implementation-ready for pull-based flows.",examples/config-source.example.v0.json,docs/spec/ConfigSource.v0.md;schemas/ConfigSource.v0.schema.json;README.md,INIT-NX-001,"Frozen ConfigSource doc, schema, and example are committed and validated.","Schema CI passes and README states phase-1 defaults (pull mode, local-first).",P0
SPEC-NX-003,phase1,sourceos-nix-lifecycle,Freeze and install TokenDoor v0,copy,"Copy the frozen TokenDoor v0 spec, schema, and example into the lifecycle repo and mark it implementation-ready for read-only token doors.",examples/token-door.example.v0.json,docs/spec/TokenDoor.v0.md;schemas/TokenDoor.v0.schema.json;README.md,INIT-NX-001,"Frozen TokenDoor doc, schema, and example are committed and validated.",Schema CI passes and docs prohibit token material in repo/store/logs.,P0
SPEC-PC-001,phase1,sourceos-profile-catalog,Install ExperienceProfile v1 frozen spec set,copy,Copy ExperienceProfile v1 schema and examples into the profile catalog repo and add mac-like and windows-like profiles.,examples/experience-profile.mac-like.json;examples/experience-profile.windows-like.json;profiles/mac-like-gnome.v1.yaml;profiles/windows-like-kde.v1.yaml,docs/spec/ExperienceProfile.v1.md;schemas/ExperienceProfile.v1.schema.json,INIT-PC-001,Profiles and examples validate against the schema.,Validation workflow passes for both example profiles.,P0
SPEC-PL-001,phase1,sourceos-policy-ledger,Install Fingerprint v1 frozen spec set,copy,Copy Fingerprint v1 spec and schema into the policy/ledger repo.,,docs/spec/Fingerprint.v1.md;schemas/Fingerprint.v1.schema.json,INIT-PL-001,Fingerprint schema validates and example surfaces required fields.,Fingerprint schema exists and CI validates.,P0
SPEC-PL-002,phase1,sourceos-policy-ledger,Freeze and install PolicyBundle v0,copy,"Copy the frozen PolicyBundle v0 spec, schema, and example into the policy/ledger repo.",examples/policy-bundle.example.v0.json,docs/spec/PolicyBundle.v0.md;schemas/PolicyBundle.v0.schema.json;README.md,INIT-PL-001,"PolicyBundle doc, schema, and example are committed and validate.",Bundle schema passes CI and docs state that policy can tighten but not silently loosen user choices.,P0
SPEC-SDK-001,phase1,sourceos-sdk,Install CLI ergonomics and hybrid runtime docs,spec,Copy and index the CLI ergonomics and agent hybrid style guide into the SDK repo and make it the command-surface reference for phase 1.,docs/spec/CLI_Ergonomics_and_Agent_Hybrid.v1.md,README.md;cmd/sourceos-bootstrap/COMMANDS.md,INIT-SDK-001,Style guide exists in the repo and command docs reference it.,The style guide file exists; command docs mention deterministic core and agent overlay; no contradictory verbs are introduced.,P0
IMPL-HB-001,phase1,homebrew-sourceos,Align Formula with bootstrap CLI source home,update,Update the Homebrew tap README and formula comments so they clearly reflect the façade/engine split and point to sourceos-sdk/cmd/sourceos-bootstrap as the build source of the distributed artifact.,,README.md;Formula/sourceos-bootstrap.rb,INIT-HB-001;INIT-SDK-001,Tap docs and formula comments align with the chosen CLI source home.,No ambiguity remains about where the CLI is built from.,P1
IMPL-HB-002,phase1,homebrew-sourceos,Align Homebrew docs with façade-engine split,docs,Make the tap README and formula comments explicitly describe ProphetCLI as façade and sourceos-bootstrap as the installed engine.,,README.md;Formula/sourceos-bootstrap.rb,INIT-HB-001;INIT-CLI-001;INIT-SDK-001,Tap docs consistently explain façade/engine split.,README mentions ProphetCLI wrapper role; formula comments mention SDK source home; no file implies Homebrew ships the whole OS.,P1
IMPL-NX-001,phase1,sourceos-nix-lifecycle,Implement pull-based GitRefBuild skeleton,implement,"Create a first-wave GitRefBuild scaffold that reads a frozen ConfigSource, resolves allowed refs, uses a read-only TokenDoor, verifies flake entrypoints, and emits a candidate ReleaseSet record without mutating the system plane.",docs/spec/GitRefBuild.v0.md,README.md;tests/README.md,SPEC-NX-001;SPEC-NX-002;SPEC-NX-003,Lifecycle repo contains a documented pull-based state machine and placeholder implementation notes/tests.,Flow is explicitly pull-only; system mutation is described as ReleaseSet output only; no secret material is logged.,P1
IMPL-PL-001,phase1,sourceos-policy-ledger,Implement policy bundle example library and validation notes,implement,"Add a small example library showing standard local policy bundle and future stricter variants, plus validation notes for policy-bound ReleaseSets.",examples/policy-bundle.standard-local.v0.json,docs/spec/PolicyBundle.v0.md;tests/README.md,SPEC-PL-002,At least one canonical example and one stricter variant are documented.,Examples are valid JSON and obviously usable by Codex during repo seeding.,P1
IMPL-SDK-001,phase1,sourceos-sdk,Add bootstrap CLI validation command surface,implement,Document and scaffold the bootstrap CLI deterministic command surface and the agent-overlay command surface while preserving deterministic-core-first semantics.,,cmd/sourceos-bootstrap/COMMANDS.md;cmd/sourceos-bootstrap/README.md;docs/spec/CLI_Ergonomics_and_Agent_Hybrid.v1.md;docs/spec/AGENT_RUNTIME_BOUNDARY.v0.md;docs/spec/MCP_BOUNDARY.v0.md,INIT-SDK-001;SPEC-NX-002;SPEC-NX-003;SPEC-PL-002,Command docs clearly describe validate subcommands and expected inputs/outputs.,README and COMMANDS are consistent and point to frozen object schemas.,P1
IMPL-SDK-002,phase1,sourceos-sdk,Add agent runtime boundary and MCP boundary docs,docs,"Add the initial runtime-boundary docs for agent assist/execute, MCP tools/resources/prompts/roots, and trust-gated loading behavior.",docs/spec/AGENT_RUNTIME_BOUNDARY.v0.md;docs/spec/MCP_BOUNDARY.v0.md,README.md;docs/crosswalk/CLI_SDK_API_RPC_SURFACES.v1.md,INIT-SDK-001;SPEC-SDK-001,Boundary docs exist and the crosswalk references them.,Both docs exist; crosswalk readme references them; they explicitly forbid redefining object semantics through agent overlay.,P1
IMPL-WS-002,phase1,sourceos-workspace,"Add workspace trust, roots, and memory-context docs",docs,Install trust-and-roots guidance plus a workspace memory/context file so agent tooling has context without turning repo notes into policy.,SOURCEOS.md;docs/TRUST_AND_ROOTS.md,README.md;docs/REPO_MATRIX.md,INIT-WS-001,Trust/roots and memory-context docs exist and are referenced from the README.,SOURCEOS.md exists; TRUST_AND_ROOTS.md exists; repo matrix includes prophet-cli-existing; README links to both docs.,P1
OPS-WS-001,phase1,sourceos-workspace,Wire issue import and repo matrix for rev2,update,"Update workspace docs so the phase-1 repos, the patch-only prophet-cli-existing target, and the new trust/root rules are reflected in repo matrix and import instructions.",,docs/REPO_MATRIX.md;docs/IMPORT_ISSUES.md;docs/TRUST_AND_ROOTS.md;SOURCEOS.md;workspace.lock.json,INIT-WS-001,Workspace docs mention all eight repos and the rev2 frozen object set.,Repo matrix includes object ownership and issue import path.,P1
INIT-CLI-001,phase1-patch,prophet-cli-existing,Patch existing ProphetCLI repo as façade target,patch,Create or update façade docs and wrapper command scaffolds in the existing ProphetCLI/ProfitCLI repository without embedding bootstrap business logic.,docs/BOOTSTRAP_DELEGATION.md;docs/CLI_SURFACE_POLICY.md;docs/AGENT_HYBRID_MODEL.md;docs/COMMANDS.md,README.md,INIT-SDK-001,"Façade docs exist, README explains wrapper role, and the repo is explicitly marked as a patch-only target.",README explains façade/engine split; bootstrap delegation doc exists; no file claims ownership of bootstrap business logic.,P0
